행정구역,2021년09월_계_총인구수,2021년09월_계_연령구간인구수,2021년09월_계_0~9세,2021년09월_계_10~19세,2021년09월_계_20~29세,2021년09월_계_30~39세,2021년09월_계_40~49세,2021년09월_계_50~59세,2021년09월_계_60~69세,2021년09월_계_70~79세,2021년09월_계_80~89세,2021년09월_계_90~99세,2021년09월_계_100세 이상,2021년09월_남_총인구수,2021년09월_남_연령구간인구수,2021년09월_남_0~9세,2021년09월_남_10~19세,2021년09월_남_20~29세,2021년09월_남_30~39세,2021년09월_남_40~49세,2021년09월_남_50~59세,2021년09월_남_60~69세,2021년09월_남_70~79세,2021년09월_남_80~89세,2021년09월_남_90~99세,2021년09월_남_100세 이상,2021년09월_여_총인구수,2021년09월_여_연령구간인구수,2021년09월_여_0~9세,2021년09월_여_10~19세,2021년09월_여_20~29세,2021년09월_여_30~39세,2021년09월_여_40~49세,2021년09월_여_50~59세,2021년09월_여_60~69세,2021년09월_여_70~79세,2021년09월_여_80~89세,2021년09월_여_90~99세,2021년09월_여_100세 이상
서울특별시,9542256,9542256,593167,761868,1436423,1444106,1490032,1506315,1280475,696015,290067,41236,2552,4636069,4636069,304536,390354,692283,721531,738346,742021,604869,316961,114123,10415,630,4906187,4906187,288631,371514,744140,722575,751686,764294,675606,379054,175944,30821,1922
종로구,145512,145512,7148,10565,23036,19517,21226,24921,20291,11727,6081,943,57,70666,70666,3615,5251,11117,9717,10319,12540,10122,5209,2471,287,18,74846,74846,3533,5314,11919,9800,10907,12381,10169,6518,3610,656,39
중구,122858,122858,6396,6592,18318,19943,17522,20161,17908,10273,4872,812,61,59853,59853,3320,3255,8519,9955,8959,10219,8941,4649,1800,219,17,63005,63005,3076,3337,9799,9988,8563,9942,8967,5624,3072,593,44
용산구,224145,224145,12878,14874,33143,37774,34099,36268,29002,16139,8491,1382,95,107801,107801,6649,7505,15624,18724,16767,17916,13951,7059,3161,417,28,116344,116344,6229,7369,17519,19050,17332,18352,15051,9080,5330,965,67
성동구,287820,287820,19515,19166,44063,47234,43631,46340,37589,20171,8884,1146,81,140290,140290,9961,9549,21737,23177,21871,22969,18377,8976,3356,288,29,147530,147530,9554,9617,22326,24057,21760,23371,19212,11195,5528,858,52
광진구,341112,341112,18137,25071,62072,54791,50806,53759,43901,21998,9278,1226,73,164553,164553,9314,12695,29035,27172,25036,26303,20894,10073,3681,331,19,176559,176559,8823,12376,33037,27619,25770,27456,23007,11925,5597,895,54
동대문구,337846,337846,19747,22979,56597,48994,49160,52220,47309,27409,11927,1419,85,167083,167083,10152,11620,27733,25287,25336,26497,22945,12420,4692,380,21,170763,170763,9595,11359,28864,23707,23824,25723,24364,14989,7235,1039,64
중랑구,388554,388554,21669,25714,54857,56905,55995,67843,60365,31107,12411,1606,82,191832,191832,11161,13059,27053,29283,28971,33586,29269,14175,4905,349,21,196722,196722,10508,12655,27804,27622,27024,34257,31096,16932,7506,1257,61
성북구 ,432628,432628,27872,36397,66125,58861,67997,69157,56666,32634,14808,2001,110,208592,208592,14232,18475,31673,29407,33504,34082,26696,14221,5775,501,26,224036,224036,13640,17922,34452,29454,34493,35075,29970,18413,9033,1500,84
강북구 ,300887,300887,14469,21063,41570,37401,44474,51619,47153,29390,12257,1439,52,146613,146613,7480,10802,20431,19537,22868,25475,22023,12686,4916,380,15,154274,154274,6989,10261,21139,17864,21606,26144,25130,16704,7341,1059,37
도봉구 ,318718,318718,17452,24574,42083,39409,46579,56024,51077,27469,12258,1670,123,155212,155212,9083,12619,21381,20137,23129,26765,24205,12618,4787,451,37,163506,163506,8369,11955,20702,19272,23450,29259,26872,14851,7471,1219,86
노원구,513053,513053,31040,50924,70821,63273,82512,87054,70330,37224,17214,2532,129,247118,247118,15975,26449,36134,31528,39227,42206,32722,16190,6042,623,22,265935,265935,15065,24475,34687,31745,43285,44848,37608,21034,11172,1909,107
은평구,474062,474062,28087,37450,65977,66957,74310,77026,66559,38628,16718,2063,287,226833,226833,14427,19169,31521,32893,36752,37132,30678,16906,6755,556,44,247229,247229,13660,18281,34456,34064,37558,39894,35881,21722,9963,1507,243
서대문구 ,306249,306249,19150,22808,49440,44304,45693,48569,39561,23429,11632,1544,119,146388,146388,9732,11381,23553,21854,22569,23674,18672,10024,4484,410,35,159861,159861,9418,11427,25887,22450,23124,24895,20889,13405,7148,1134,84
마포구 ,369903,369903,23941,27896,61867,63757,60166,54820,40864,23535,11367,1583,107,174119,174119,12240,14042,27744,30138,29181,26934,19060,9915,4394,437,34,195784,195784,11701,13854,34123,33619,30985,27886,21804,13620,6973,1146,73
양천구 ,449010,449010,30051,49608,58116,56059,77057,76111,60052,28978,11216,1685,77,220075,220075,15454,25828,29528,27682,36845,37850,28716,13675,4078,402,17,228935,228935,14597,23780,28588,28377,40212,38261,31336,15303,7138,1283,60
강서구,575875,575875,37413,43695,86432,97941,89669,84429,79087,39192,15405,2517,95,277388,277388,19028,22355,39743,49396,45128,40577,36589,18362,5628,556,26,298487,298487,18385,21340,46689,48545,44541,43852,42498,20830,9777,1961,69
구로구 ,397506,397506,26324,29325,54112,61057,61595,62301,57306,31865,12048,1522,51,196027,196027,13442,15055,26478,31197,31566,30847,27100,15079,4878,371,14,201479,201479,12882,14270,27634,29860,30029,31454,30206,16786,7170,1151,37
금천구 ,230644,230644,11869,14115,37183,36090,31940,39312,34440,17932,6851,865,47,116588,116588,6105,7144,18473,19959,16856,19761,16903,8427,2736,211,13,114056,114056,5764,6971,18710,16131,15084,19551,17537,9505,4115,654,34
영등포구,377536,377536,25154,23744,59122,69313,55684,56220,48050,26912,11744,1526,67,186414,186414,12870,12347,27418,35409,28719,28675,23367,12389,4785,418,17,191122,191122,12284,11397,31704,33904,26965,27545,24683,14523,6959,1108,50
동작구 ,387117,387117,23342,27222,65487,61102,57629,57906,50408,29652,12437,1776,156,187286,187286,11931,13973,31589,30907,28965,27870,23313,13197,5039,462,40,199831,199831,11411,13249,33898,30195,28664,30036,27095,16455,7398,1314,116
